Ref,Val,Package,PosX,PosY,Rot,Side
"Boot1","SW_PUSH","SW_Push_1P1T_NO_6x6mm_H9.5mm",-41.000000,-32.350000,0.000000,top
"C1","0.1uF","C_0805_2012Metric",-44.700000,-38.250000,0.000000,top
"C3","1uF","C_0805_2012Metric",-155.200000,-5.350000,0.000000,top
"C5","1uF","C_0805_2012Metric",-44.700000,-46.850000,180.000000,top
"C6","10uF","CP_EIA-3216-10_Kemet-I",-137.200000,-5.350000,0.000000,top
"C7","1uF","C_0805_2012Metric",-128.200000,-5.350000,0.000000,top
"C8","1uF","C_0805_2012Metric",-128.200000,-0.350000,0.000000,top
"C19","10uF","CP_EIA-3216-10_Kemet-I",-146.200000,-5.350000,0.000000,top
"D1","D","D_SOD-123",-143.775000,-16.491000,270.000000,top
"D2","D","D_SOD-123",-124.770000,-15.250000,270.000000,top
"D3","D","D_SOD-123",-105.775000,0.359000,270.000000,top
"D4","D","D_SOD-123",-86.775000,3.359000,270.000000,top
"D5","D","D_SOD-123",-67.775000,-6.641000,270.000000,top
"D6","D","D_SOD-123",-48.775000,-8.641000,270.000000,top
"D7","D","D_SOD-123",-143.780000,-35.540000,270.000000,top
"D8","D","D_SOD-123",-124.775000,-34.191000,270.000000,top
"D9","D","D_SOD-123",-105.775000,-18.641000,270.000000,top
"D10","D","D_SOD-123",-86.775000,-15.641000,270.000000,top
"D11","D","D_SOD-123",-67.775000,-25.641000,270.000000,top
"D12","D","D_SOD-123",-48.775000,-27.641000,270.000000,top
"D13","D","D_SOD-123",-143.775000,-54.491000,270.000000,top
"D14","D","D_SOD-123",-124.775000,-53.191000,270.000000,top
"D15","D","D_SOD-123",-105.775000,-37.641000,270.000000,top
"D16","D","D_SOD-123",-86.775000,-34.641000,270.000000,top
"D17","D","D_SOD-123",-67.775000,-44.641000,270.000000,top
"D18","D","D_SOD-123",-48.775000,-46.641000,270.000000,top
"D19","D","D_SOD-123",-103.290000,-69.600000,180.000000,top
"D20","D","D_SOD-123",-82.162500,-63.650000,270.000000,top
"D21","D","D_SOD-123",-63.162500,-65.650000,270.000000,top
"D22","D","D_SOD-123",-16.790000,-81.790000,350.000000,top
"D23","D","D_SOD-123",-43.950000,-78.380000,260.000000,top
"D24","D","D_SOD-123",-25.176519,-81.614933,260.000000,top
"D25","D","D_SOD-123",-146.200000,-0.350000,180.000000,top
"F1","PPTC","Fuse_1206_3216Metric",-155.200000,-1.350000,0.000000,top
"G***","LOGO","butterfly",-139.570000,-0.370000,0.000000,top
"L32","WS2812_LED","WS2812B",-104.450000,14.150000,180.000000,top
"L36","WS2812_LED","WS2812B",-154.700000,2.650000,180.000000,top
"L37","WS2812_LED","WS2812B",-116.700000,13.060000,180.000000,top
"L38","WS2812_LED","WS2812B",-130.200000,10.150000,180.000000,top
"L39","WS2812_LED","WS2812B",-142.450000,6.650000,180.000000,top
"L40","WS2812_LED","WS2812B",-92.200000,14.150000,180.000000,top
"L41","WS2812_LED","WS2812B",-78.700000,10.650000,180.000000,top
"L42","WS2812_LED","WS2812B",-66.450000,8.150000,180.000000,top
"L43","WS2812_LED","WS2812B",-54.200000,5.150000,180.000000,top
"R1","1K","R_0805_2012Metric",-23.030000,-3.222500,90.000000,top
"R2","10k","R_0805_2012Metric",-19.537500,-37.690000,0.000000,top
"R3","5.1k","R_0805_2012Metric",-148.169049,4.962710,90.000000,top
"R4","5.1k","R_0805_2012Metric",-137.856659,9.343923,90.000000,top
"R5","22","R_0805_2012Metric",-44.700000,-40.750000,180.000000,top
"R6","330","R_0805_2012Metric",-26.080000,-3.687500,90.000000,top
"R7","22","R_0805_2012Metric",-44.700000,-43.250000,180.000000,top
"R8","330","R_0805_2012Metric",-19.537500,-39.890000,180.000000,top
"RESET_SW1","SW_PUSH","SW_Push_1P1T_NO_6x6mm_H9.5mm",-23.700000,-32.350000,0.000000,top
"SW1","SW_PUSH","Kailh_socket_MX",-151.975000,-18.691000,0.000000,top
"SW2","SW_PUSH","Kailh_socket_MX",-132.975000,-17.391000,0.000000,top
"SW3","SW_PUSH","Kailh_socket_MX",-113.975000,-1.841000,0.000000,top
"SW4","SW_PUSH","Kailh_socket_MX",-94.975000,1.159000,0.000000,top
"SW5","SW_PUSH","Kailh_socket_MX",-75.975000,-8.841000,0.000000,top
"SW6","SW_PUSH","Kailh_socket_MX",-56.975000,-10.841000,0.000000,top
"SW7","SW_PUSH","Kailh_socket_MX",-151.975000,-37.691000,0.000000,top
"SW8","SW_PUSH","Kailh_socket_MX",-132.975000,-36.391000,0.000000,top
"SW9","SW_PUSH","Kailh_socket_MX",-113.975000,-20.841000,0.000000,top
"SW10","SW_PUSH","Kailh_socket_MX",-94.975000,-17.841000,0.000000,top
"SW11","SW_PUSH","Kailh_socket_MX",-75.975000,-27.841000,0.000000,top
"SW12","SW_PUSH","Kailh_socket_MX",-56.975000,-29.841000,0.000000,top
"SW13","SW_PUSH","Kailh_socket_MX",-151.975000,-56.691000,0.000000,top
"SW14","SW_PUSH","Kailh_socket_MX",-132.975000,-55.391000,0.000000,top
"SW15","SW_PUSH","Kailh_socket_MX",-113.975000,-39.841000,0.000000,top
"SW16","SW_PUSH","Kailh_socket_MX",-94.975000,-36.841000,0.000000,top
"SW17","SW_PUSH","Kailh_socket_MX",-75.975000,-46.841000,0.000000,top
"SW18","SW_PUSH","Kailh_socket_MX",-56.975000,-48.841000,0.000000,top
"SW20","SW_PUSH","Kailh_socket_MX",-90.362500,-65.850000,0.000000,top
"SW21","SW_PUSH","Kailh_socket_MX",-71.362500,-67.850000,0.000000,top
"SW22","SW_PUSH","Kailh_socket_MX",-15.680000,-90.350000,80.000000,top
"SW23","SW_PUSH","Kailh_socket_MX",-52.450000,-79.000000,350.000000,top
"SW24","SW_PUSH","Kailh_socket_MX",-33.650000,-82.350000,350.000000,top
"U1","ATMEGA32U4","ATMEGA32U4-AU",-32.270000,-43.160000,45.000000,top
"U2","MIC5219-5.0YMM","MSOP-8_3x3mm_P0.65mm",-137.200000,-0.350000,0.000000,top
